Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.5; BetsNumber: 245; BetsWin:77; BetsDraw: 189; CorrectResults: 84; CorrectDraws: 59; CorrectWins: 25; SUM: 14.87
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.6; BetsNumber: 233; BetsWin:51; BetsDraw: 197; CorrectResults: 79; CorrectDraws: 62; CorrectWins: 17; SUM: 19.92
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.6; BetsNumber: 236; BetsWin:51; BetsDraw: 200; CorrectResults: 81; CorrectDraws: 64; CorrectWins: 17; SUM: 24.34
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.6; BetsNumber: 244; BetsWin:51; BetsDraw: 208; CorrectResults: 82; CorrectDraws: 65; CorrectWins: 17; SUM: 21.26
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.6; BetsNumber: 253; BetsWin:51; BetsDraw: 217; CorrectResults: 85; CorrectDraws: 68; CorrectWins: 17; SUM: 23.09
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.65; BetsNumber: 217; BetsWin:40; BetsDraw: 189; CorrectResults: 73; CorrectDraws: 59; CorrectWins: 14; SUM: 19.99
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.65; BetsNumber: 225; BetsWin:40; BetsDraw: 197; CorrectResults: 76; CorrectDraws: 62; CorrectWins: 14; SUM: 21.39
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.65; BetsNumber: 228; BetsWin:40; BetsDraw: 200; CorrectResults: 78; CorrectDraws: 64; CorrectWins: 14; SUM: 25.81
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.65; BetsNumber: 236; BetsWin:40; BetsDraw: 208; CorrectResults: 79; CorrectDraws: 65; CorrectWins: 14; SUM: 22.73
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.65; BetsNumber: 245; BetsWin:40; BetsDraw: 217; CorrectResults: 82; CorrectDraws: 68; CorrectWins: 14; SUM: 24.56
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.7; BetsNumber: 212; BetsWin:33; BetsDraw: 189; CorrectResults: 71; CorrectDraws: 59; CorrectWins: 12; SUM: 20.97
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.7; BetsNumber: 220; BetsWin:33; BetsDraw: 197; CorrectResults: 74; CorrectDraws: 62; CorrectWins: 12; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.7; BetsNumber: 223; BetsWin:33; BetsDraw: 200; CorrectResults: 76; CorrectDraws: 64; CorrectWins: 12; SUM: 26.79
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.7; BetsNumber: 231; BetsWin:33; BetsDraw: 208; CorrectResults: 77; CorrectDraws: 65; CorrectWins: 12; SUM: 23.71
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.7; BetsNumber: 240; BetsWin:33; BetsDraw: 217; CorrectResults: 80; CorrectDraws: 68; CorrectWins: 12; SUM: 25.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.75; BetsNumber: 209; BetsWin:30; BetsDraw: 189; CorrectResults: 71; CorrectDraws: 59; CorrectWins: 12; SUM: 23.97
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.75; BetsNumber: 217; BetsWin:30; BetsDraw: 197; CorrectResults: 74; CorrectDraws: 62; CorrectWins: 12; SUM: 25.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.75; BetsNumber: 220; BetsWin:30; BetsDraw: 200; CorrectResults: 76; CorrectDraws: 64; CorrectWins: 12; SUM: 29.79
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.75; BetsNumber: 228; BetsWin:30; BetsDraw: 208; CorrectResults: 77; CorrectDraws: 65; CorrectWins: 12; SUM: 26.71
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.75; BetsNumber: 237; BetsWin:30; BetsDraw: 217; CorrectResults: 80; CorrectDraws: 68; CorrectWins: 12; SUM: 28.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.8; BetsNumber: 204; BetsWin:24; BetsDraw: 189; CorrectResults: 70; CorrectDraws: 59; CorrectWins: 11; SUM: 25.85
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.8; BetsNumber: 212; BetsWin:24; BetsDraw: 197; CorrectResults: 73; CorrectDraws: 62; CorrectWins: 11; SUM: 27.25
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.8; BetsNumber: 215; BetsWin:24; BetsDraw: 200; CorrectResults: 75; CorrectDraws: 64; CorrectWins: 11; SUM: 31.67
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.8; BetsNumber: 223; BetsWin:24; BetsDraw: 208; CorrectResults: 76; CorrectDraws: 65; CorrectWins: 11; SUM: 28.59
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.8; BetsNumber: 232; BetsWin:24; BetsDraw: 217; CorrectResults: 79; CorrectDraws: 68; CorrectWins: 11; SUM: 30.42
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.85; BetsNumber: 203; BetsWin:23; BetsDraw: 189; CorrectResults: 70; CorrectDraws: 59; CorrectWins: 11; SUM: 26.85
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.85; BetsNumber: 211; BetsWin:23; BetsDraw: 197; CorrectResults: 73; CorrectDraws: 62; CorrectWins: 11; SUM: 28.25
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.85; BetsNumber: 214; BetsWin:23; BetsDraw: 200; CorrectResults: 75; CorrectDraws: 64; CorrectWins: 11; SUM: 32.67
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.85; BetsNumber: 222; BetsWin:23; BetsDraw: 208; CorrectResults: 76; CorrectDraws: 65; CorrectWins: 11; SUM: 29.59
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.85; BetsNumber: 231; BetsWin:23; BetsDraw: 217; CorrectResults: 79; CorrectDraws: 68; CorrectWins: 11; SUM: 31.42
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.9; BetsNumber: 202; BetsWin:22; BetsDraw: 189; CorrectResults: 70; CorrectDraws: 59; CorrectWins: 11; SUM: 27.85
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.9; BetsNumber: 210; BetsWin:22; BetsDraw: 197; CorrectResults: 73; CorrectDraws: 62; CorrectWins: 11; SUM: 29.25
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.9; BetsNumber: 213; BetsWin:22; BetsDraw: 200; CorrectResults: 75; CorrectDraws: 64; CorrectWins: 11; SUM: 33.67
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.9; BetsNumber: 221; BetsWin:22; BetsDraw: 208; CorrectResults: 76; CorrectDraws: 65; CorrectWins: 11; SUM: 30.59
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.9; BetsNumber: 230; BetsWin:22; BetsDraw: 217; CorrectResults: 79; CorrectDraws: 68; CorrectWins: 11; SUM: 32.42
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.95; BetsNumber: 196; BetsWin:11; BetsDraw: 189; CorrectResults: 65; CorrectDraws: 59; CorrectWins: 6; SUM: 22.29
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.95; BetsNumber: 204; BetsWin:11; BetsDraw: 197; CorrectResults: 68; CorrectDraws: 62; CorrectWins: 6; SUM: 23.69
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.95; BetsNumber: 207; BetsWin:11; BetsDraw: 200; CorrectResults: 70; CorrectDraws: 64; CorrectWins: 6; SUM: 28.11
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.95; BetsNumber: 215; BetsWin:11; BetsDraw: 208; CorrectResults: 71; CorrectDraws: 65; CorrectWins: 6; SUM: 25.03
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.95; BetsNumber: 224; BetsWin:11; BetsDraw: 217; CorrectResults: 74; CorrectDraws: 68; CorrectWins: 6; SUM: 26.86
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1; BetsNumber: 193; BetsWin:5; BetsDraw: 189; CorrectResults: 62; CorrectDraws: 59; CorrectWins: 3; SUM: 19.31
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1; BetsNumber: 201; BetsWin:5; BetsDraw: 197; CorrectResults: 65; CorrectDraws: 62; CorrectWins: 3; SUM: 20.71
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1; BetsNumber: 204; BetsWin:5; BetsDraw: 200; CorrectResults: 67; CorrectDraws: 64; CorrectWins: 3; SUM: 25.13
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1; BetsNumber: 212; BetsWin:5; BetsDraw: 208; CorrectResults: 68; CorrectDraws: 65; CorrectWins: 3; SUM: 22.05
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1; BetsNumber: 221; BetsWin:5; BetsDraw: 217; CorrectResults: 71; CorrectDraws: 68; CorrectWins: 3; SUM: 23.88
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.05; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.05; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.05; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.05; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.05; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.1; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.1; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.1; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.1; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.1; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.15; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.15; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.15; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.15; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.15; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.2; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.2; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.2; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.2; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.2; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.25; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.25; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.25; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.25; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.25; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.3; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.3; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.3; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.3; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.3; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.35; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.35; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.35; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.35; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.35; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.4; BetsNumber: 191; BetsWin:3; BetsDraw: 189; CorrectResults: 61; CorrectDraws: 59; CorrectWins: 2; SUM: 17.8
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.4; BetsNumber: 199; BetsWin:3; BetsDraw: 197; CorrectResults: 64; CorrectDraws: 62; CorrectWins: 2; SUM: 19.2
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.4; BetsNumber: 202; BetsWin:3; BetsDraw: 200; CorrectResults: 66; CorrectDraws: 64; CorrectWins: 2; SUM: 23.62
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.4; BetsNumber: 210; BetsWin:3; BetsDraw: 208; CorrectResults: 67; CorrectDraws: 65; CorrectWins: 2; SUM: 20.54
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.4; BetsNumber: 219; BetsWin:3; BetsDraw: 217; CorrectResults: 70; CorrectDraws: 68; CorrectWins: 2; SUM: 22.37
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.45; BetsNumber: 190; BetsWin:1; BetsDraw: 189; CorrectResults: 60; CorrectDraws: 59; CorrectWins: 1; SUM: 16.91
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.45; BetsNumber: 198; BetsWin:1; BetsDraw: 197; CorrectResults: 63; CorrectDraws: 62; CorrectWins: 1; SUM: 18.31
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.45; BetsNumber: 201; BetsWin:1; BetsDraw: 200; CorrectResults: 65; CorrectDraws: 64; CorrectWins: 1; SUM: 22.73
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.45; BetsNumber: 209; BetsWin:1; BetsDraw: 208; CorrectResults: 66; CorrectDraws: 65; CorrectWins: 1; SUM: 19.65
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.45; BetsNumber: 218; BetsWin:1; BetsDraw: 217; CorrectResults: 69; CorrectDraws: 68; CorrectWins: 1; SUM: 21.48
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.5; BetsNumber: 190; BetsWin:1; BetsDraw: 189; CorrectResults: 60; CorrectDraws: 59; CorrectWins: 1; SUM: 16.91
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.5; BetsNumber: 198; BetsWin:1; BetsDraw: 197; CorrectResults: 63; CorrectDraws: 62; CorrectWins: 1; SUM: 18.31
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.5; BetsNumber: 201; BetsWin:1; BetsDraw: 200; CorrectResults: 65; CorrectDraws: 64; CorrectWins: 1; SUM: 22.73
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.5; BetsNumber: 209; BetsWin:1; BetsDraw: 208; CorrectResults: 66; CorrectDraws: 65; CorrectWins: 1; SUM: 19.65
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.5; BetsNumber: 218; BetsWin:1; BetsDraw: 217; CorrectResults: 69; CorrectDraws: 68; CorrectWins: 1; SUM: 21.48
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.55; BetsNumber: 190; BetsWin:1; BetsDraw: 189; CorrectResults: 60; CorrectDraws: 59; CorrectWins: 1; SUM: 16.91
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.55; BetsNumber: 198; BetsWin:1; BetsDraw: 197; CorrectResults: 63; CorrectDraws: 62; CorrectWins: 1; SUM: 18.31
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.55; BetsNumber: 201; BetsWin:1; BetsDraw: 200; CorrectResults: 65; CorrectDraws: 64; CorrectWins: 1; SUM: 22.73
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.55; BetsNumber: 209; BetsWin:1; BetsDraw: 208; CorrectResults: 66; CorrectDraws: 65; CorrectWins: 1; SUM: 19.65
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.55; BetsNumber: 218; BetsWin:1; BetsDraw: 217; CorrectResults: 69; CorrectDraws: 68; CorrectWins: 1; SUM: 21.48
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 1.6; BetsNumber: 190; BetsWin:1; BetsDraw: 189; CorrectResults: 60; CorrectDraws: 59; CorrectWins: 1; SUM: 16.91
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 1.6; BetsNumber: 198; BetsWin:1; BetsDraw: 197; CorrectResults: 63; CorrectDraws: 62; CorrectWins: 1; SUM: 18.31
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 1.6; BetsNumber: 201; BetsWin:1; BetsDraw: 200; CorrectResults: 65; CorrectDraws: 64; CorrectWins: 1; SUM: 22.73
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 1.6; BetsNumber: 209; BetsWin:1; BetsDraw: 208; CorrectResults: 66; CorrectDraws: 65; CorrectWins: 1; SUM: 19.65
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 1.6; BetsNumber: 218; BetsWin:1; BetsDraw: 217; CorrectResults: 69; CorrectDraws: 68; CorrectWins: 1; SUM: 21.48
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.45; DiffWin: 0.5; BetsNumber: 244; BetsWin:76; BetsDraw: 189; CorrectResults: 84; CorrectDraws: 59; CorrectWins: 25; SUM: 15.87
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.475; DiffWin: 0.5; BetsNumber: 252; BetsWin:76; BetsDraw: 197; CorrectResults: 87; CorrectDraws: 62; CorrectWins: 25; SUM: 17.27
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.5; DiffWin: 0.5; BetsNumber: 255; BetsWin:76; BetsDraw: 200; CorrectResults: 89; CorrectDraws: 64; CorrectWins: 25; SUM: 21.69
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.525; DiffWin: 0.5; BetsNumber: 263; BetsWin:76; BetsDraw: 208; CorrectResults: 90; CorrectDraws: 65; CorrectWins: 25; SUM: 18.61
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.55; DiffWin: 0.5; BetsNumber: 272; BetsWin:76; BetsDraw: 217; CorrectResults: 93; CorrectDraws: 68; CorrectWins: 25; SUM: 20.44
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.45; DiffWin: 0.55; BetsNumber: 234; BetsWin:62; BetsDraw: 189; CorrectResults: 79; CorrectDraws: 59; CorrectWins: 20; SUM: 15.11
Liga: Serie_A   ; MinCof: 1.7; DiffDraw: 0.475; DiffWin: 0.55; BetsNumber: 242; BetsWin:62; BetsDraw: 197; CorrectResults: 82; CorrectDraws: 62; CorrectWins: 20; SUM: 16.51
